id,caseNumber,originalCaseNumber,agencyId,reportDate,offenseCode1,offenseCode2,offenseCode3,offenseCode4,offenseCode5,offenseCode6,offenseDescription1,offenseDescription2,offenseDescription3,offenseDescription4,offenseDescription5,offenseDescription6,incidentNumber,place,city,occurrence1Date,occurrence1Time,disposition,beat,approvalDate,approved,xCoord,yCoord,blockNumber,street,coordCheck,uploadDate,crimeType,crimeClassification,titleBackgroundColor,iconUrl
4258188,26-00640,12600640,914,2026-02-15T00:00:00,647(F) PC,,,,,,Disorderly conduct:alcohol (M),,,,,,202602150108,US BANK,Davis,2026-02-15T00:00:00,2253,A,2,2026-02-16T00:00:00,True,-121.740379333496,38.5445556640625,300.0,F ST,Y,2026-02-23T12:15:01.7,Disorderly Conduct,Misdemeanor,#752100,red\PinNeedle.svg
4265981,26-00642,12600642,914,2026-02-16T00:00:00,978.5 PC,,,,,,Bench warrant/failure to appear on misdemeanor charge (M),,,,,,202602160010,,Davis,2026-02-16T00:00:00,211,A,2,2026-02-16T00:00:00,True,-121.739250183105,38.5449256896973,,G ST/3RD ST,Y,2026-02-23T12:15:01.7,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4257858,26-00643,12600643,914,2026-02-16T00:00:00,273.5(A) PC,,,,,,Inflict corporal injury on spouse/cohabitant/datng relatnshp - Simple (M),,,,,,202602160001,UNIVERSITY PARK INN,Davis,2026-02-16T00:00:00,1,A,4,2026-02-16T00:00:00,True,-121.738143920898,38.5402412414551,1100.0,RICHARDS BL,Y,2026-02-23T08:00:01.35,Assault,Misdemeanor,#752100,red\PinNeedle.svg
4257561,26-00647,12600647,914,2026-02-16T00:00:00,166(A)(4) PC,602(O)(1) PC,,,,,Contempt of court:disobey court order/etc (M),Trespas:refuse leave prop (M),,,,,202602160077,MYLAND NAILS AND SPA,Davis,2026-02-16T00:00:00,1641,A,2,2026-02-16T00:00:00,True,-121.73999786377,38.5432739257813,200.0,F ST,Y,2026-02-23T03:45:02.317,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4265444,26-00655,12600655,914,2026-02-17T00:00:00,978.5 PC,11364(A) HS,,,,,Bench warrant/failure to appear on misdemeanor charge (M),Possess unlawful paraphernalia (M),,,,,202602170033,OAKSHADE SHOPPING CENTER,Davis,2026-02-17T00:00:00,931,A,4,2026-02-18T00:00:00,True,-121.724716186523,38.5400352478027,2100.0,COWELL BL,Y,2026-02-23T12:15:01.7,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4264111,26-00660,12600660,914,2026-02-17T00:00:00,647(F) PC,11364(A) HS,,,,,Disorderly conduct:alcohol (M),Possess unlawful paraphernalia (M),,,,,202602170058,LOOP GAS STATION,Davis,2026-02-17T00:00:00,1218,A,4,2026-02-18T00:00:00,True,-121.73857879638672,38.54065704345703,1000.0,OLIVE DR,Y,2026-02-19T16:25:02.873,Disorderly Conduct,Misdemeanor,#752100,red\PinNeedle.svg
4265445,26-00661,12600661,914,2026-02-17T00:00:00,459.5(A) PC,,,,,,Shoplifting (M),,,,,,202602170065,NUGGET MARKET,Davis,2026-02-17T00:00:00,1250,A,4,2026-02-19T00:00:00,True,-121.74270629882812,38.54615020751953,400.0,MACE BL,Y,2026-02-23T12:15:01.7,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
4264108,26-00667,12600667,914,2026-02-18T00:00:00,272(A)(1) PC,,,,,,Contribute to the delinquency of a minor (M),,,,,,202602180040,NISHI FARMS (CITY PROPERTY),Davis,2026-02-18T00:00:00,739,A,2,2026-02-19T00:00:00,True,-121.741142272949,38.5391731262207,1500.0,ARBORETUM TR,Y,2026-02-23T15:20:01.663,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4265740,26-00671,12600671,914,2026-02-18T00:00:00,23152(A) VC,23152(B) VC,,,,,Dui alcohol (M),Dui alcohol/0.08 percent (M),,,,,202602180067,CAL FIRE,Davis,2026-02-18T00:00:00,1003,A,4,2026-02-18T00:00:00,True,-121.68074035644531,38.555267333984375,5800.0,CHILES RD,Y,2026-02-23T12:15:01.7,Driving Under the Influence,Misdemeanor,#752100,red\PinNeedle.svg
4265443,26-00673,12600673,914,2026-02-18T00:00:00,242 PC,597(A) PC,166(A)(4) PC,,,,Battery on person - Simple (M),Int cruelty to anml/kill (F),Contempt of court:disobey court order/etc (M),,,,202602180120,,Davis,2026-02-18T00:00:00,1451,A,4,2026-02-18T00:00:00,True,-121.694473266602,38.5488052368164,,COWELL BL/MACE BL,Y,2026-02-23T18:30:01.347,Assault,Misdemeanor,#752100,red\PinNeedle.svg
4264109,26-00674,12600674,914,2026-02-18T00:00:00,3056 PC,11395(B)(1) HS,647(H) PC,11364(A) HS,11377(A) HS,,Violation parole:felony (F),Poss cntl sub w/2 or more priors (F),Disorderly conduct:loiter/etc private property (M),Possess unlawful paraphernalia (M),Possess controlled substance (M),,202602180118,,Davis,2026-02-18T00:00:00,1447,A,2,2026-02-18T00:00:00,True,-121.74031829833984,38.54864501953125,600.0,G ST,Y,2026-02-19T16:25:02.873,All Other Offenses,Felony,#752100,red\PinNeedle.svg
4264110,26-00678,12600678,914,2026-02-18T00:00:00,182(A)(1) PC,490.5(A) PC,,,,,Conspiracy:commit crime (F),Petty theft:retail merchandise/etc (M),,,,,202602180168,NUGGET MARKET,Davis,2026-02-18T00:00:00,1957,A,2,2026-02-19T00:00:00,True,-121.73310089111328,38.560970306396484,1400.0,E COVELL BL,Y,2026-02-19T16:25:02.873,All Other Offenses,Felony,#752100,red\PinNeedle.svg
4265580,26-00679,12600679,914,2026-02-18T00:00:00,602(M) PC,,,,,,Trespass:occupy property without consent (M),,,,,,202602180172,SYCAMORE LANE APARTMENTS,Davis,2026-02-18T00:00:00,2122,A,1,2026-02-19T00:00:00,True,-121.761650085449,38.5474700927734,600.0,SYCAMORE LN,Y,2026-02-23T12:15:01.7,Trespassing,Misdemeanor,#752100,red\PinNeedle.svg
4265739,26-00683,12600683,914,2026-02-19T00:00:00,11377(A) HS,11364(A) HS,,,,,Possess controlled substance (M),Possess unlawful paraphernalia (M),,,,,202602190034,PARKING GARAGE,Davis,2026-02-19T00:00:00,819,A,2,2026-02-19T00:00:00,True,-121.739593505859,38.5419883728027,100.0,F ST,Y,2026-02-23T12:15:01.7,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4267415,26-00710,12600710,914,2026-02-20T00:00:00,978.5 PC,O/W MISD,11350(A) HS,,,,Bench warrant/failure to appear on misdemeanor charge (M),Outside Warrant Misdemeanor,Possess narcotic controlled substance (M),,,,202602200076,RESPITE CENTER,Davis,2026-02-20T00:00:00,1421,A,2,2026-02-21T00:00:00,True,-121.73414611816406,38.548828125,500.0,L ST,Y,2026-02-23T12:15:01.7,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4267417,26-00716,12600716,914,2026-02-20T00:00:00,490.5(A) PC,,,,,,Petty theft:retail merchandise/etc (M),,,,,,202602200109,NUGGET MARKET,Davis,2026-02-20T00:00:00,1946,A,2,2026-02-21T00:00:00,True,-121.73310089111328,38.560970306396484,1400.0,E COVELL BL,Y,2026-02-23T12:15:01.7,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
4267416,26-00717,12600717,914,2026-02-20T00:00:00,490.5(A) PC,,,,,,Petty theft:retail merchandise/etc (M),,,,,,202602200120,NUGGET MARKET,Davis,2026-02-20T00:00:00,2101,A,2,2026-02-21T00:00:00,True,-121.733100891113,38.5609703063965,1400.0,E COVELL BL,Y,2026-02-23T15:20:01.663,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
4267414,26-00722,12600722,914,2026-02-21T00:00:00,381B PC,,,,,,Possess nitrous oxide (M),,,,,,202602210102,SOLE DESIRE,Davis,2026-02-21T00:00:00,1518,A,2,2026-02-22T00:00:00,True,-121.73870086669922,38.54349136352539,800.0,2ND ST,Y,2026-02-23T12:15:01.7,All Other Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4267945,26-00723,12600723,914,2026-02-21T00:00:00,11364(A) HS,11377(A) HS,11395(B)(1) HS,1203.2(A) PC,,,Possess unlawful paraphernalia (M),Possess controlled substance (M),Poss cntl sub w/2 or more priors (F),Probation violation:rearrest/revoke (F),,,202602210107,SAFEWAY SOUTH,Davis,2026-02-21T00:00:00,1638,A,4,2026-02-22T00:00:00,True,-121.72471618652344,38.540035247802734,2100.0,COWELL BL,Y,2026-02-23T15:20:01.663,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4267413,26-00727,12600727,914,2026-02-22T00:00:00,23152(A) VC,23152(B) VC,,,,,Dui alcohol (M),Dui alcohol/0.08 percent (M),,,,,202602220012,,Davis,2026-02-22T00:00:00,218,A,1,2026-02-23T00:00:00,True,-121.758676,38.5507836,,W 8TH ST/ANDERSON RD,Y,2026-02-23T17:30:01.51,Driving Under the Influence,Misdemeanor,#752100,red\PinNeedle.svg
4267412,26-00730,12600730,914,2026-02-22T00:00:00,602(Q) PC,11377(A) HS,,,,,Trespass:refuse to leave public building (M),Possess controlled substance (M),,,,,202602220033,RESPITE CENTER,Davis,2026-02-22T00:00:00,908,A,2,2026-02-22T00:00:00,True,-121.73414611816406,38.548828125,500.0,L ST,Y,2026-02-23T12:15:01.7,Trespassing,Misdemeanor,#752100,red\PinNeedle.svg
4268318,26-00731,12600731,914,2026-02-22T00:00:00,11364(A) HS,11377(A) HS,11395(B)(1) HS,,,,Possess unlawful paraphernalia (M),Possess controlled substance (F),Poss cntl sub w/2 or more priors (F),,,,202602220048,NISHI FARMS (CITY PROPERTY),Davis,2026-02-22T00:00:00,1136,A,2,2026-02-23T00:00:00,True,-121.741142272949,38.5391731262207,1500.0,ARBORETUM TR,Y,2026-02-23T17:30:01.51,Drug/Narcotic Offenses,Misdemeanor,#752100,red\PinNeedle.svg
4268319,26-00732,12600732,914,2026-02-22T00:00:00,490.5(A) PC,666.1(A)(1) PC,O/W MISD,,,,Petty theft:retail merchandise/etc (M),Petty theft w/2 or more priors - Shoplifting (F),Outside Warrant Misdemeanor,,,,202602220060,SAFEWAY SOUTH,Davis,2026-02-22T00:00:00,1345,A,4,2026-02-23T00:00:00,True,-121.72471618652344,38.540035247802734,2100.0,COWELL BL,Y,2026-02-23T16:25:01.077,Larceny/Theft,Misdemeanor,#752100,red\PinNeedle.svg
